input_text,target_expl,generated_expl
"why do people who are dying receive social security payments?, born again, unable to work, or no longer exist? commonsense says",unable to work people who are dying receive social security payment,people who die tend to live out in the elderly people.
"the teens were trying to hide that they get drink, but when they walked in the door their what gave it away?, stagger, vomit, or fall down? commonsense says","walk or move unsteadily, as if about to fall.",the only thing that might have
"while washing clothes they became what when caught on the sharp object?, torn, wet clothes, or wear out? commonsense says",torn clothes they became what when caught on the sharp object?,"when wet clothes are wet, they will get wet."
"when a person admits his mistakes, what are they doing?, act responsibly, learn to swim, or feel relieved? commonsense says",admitting mistakes is a responsible action,"when you are trying to change yourself, you can feel regret about the past."
"many humans enjoy fishing and enjoy another relaxing activity at the same time, what activity is it?, drink beer, looking for information, or sit quietly? commonsense says",many humans enjoy fishing and enjoy drink beer relaxing activity at same time,the other two options are not something that happen to the person.
"where can you store your dishes in your dwelling?, pantry, shelf, or apartment? commonsense says",make your kitchen even more stylish and functional by storing dishes where you can see and access them easily. these out - of - the - box ideas will help you get started.,you can store dishes in a cupboard or a cupboard
"when communicating with my boss what should i do, misunderstandings, confusion, or transfer of information? commonsense says",transfer the information by some assistants of boss,misunderstandings are the result of misunderstandings.
"he came from old money and had a fortune, but he made new money making shrewd trades where?, real estate, treasure chest, or stock market? commonsense says",i have a lot of old money in my house.,real estate is the only option that involves the selling of the stock
"john knew that the sun produced a massive amount of energy in two forms. if you were on the surface of the sun, what would kill you first?, light, heat, or life on earth? commonsense says",heat sun produced a massive amount of energy in two forms,the only way to destroy a human body is to burn it.
"what will a person do at work?, draw attention to themselves, make money, or come home? commonsense says",person do work for make money,people often get together to do work outside of home.
"what room would you find many bookcases and is used for contemplation?, house, den, or study? commonsense says",room would you find study bookcases and is used for contemplation,"a library is a place where you can find books, but not a house or a library."
"stark was just having fun, and he wasn't hurting anyone. what might have he been doing?, need for rest, playing marbles, or wild ride? commonsense says","stark was having fun playing a game, marbles.",it's the only one that hurt someone else.
"according to what book did an apple tree lead to the downfall of man?, woods, spain, or bible? commonsense says",apples led to a downfall in the bible.,the french government created a red ladder to escape
"where is one likely to find a fan for their stove?, appliance store, sports stadium, or hot room? commonsense says",stove and other appliances are bought in the appliance store,a hot stove is located in the kitchen and has plenty of heat to use.
"in what kind of environment does an anemone live?, south pacific, atlantic ocean, or sea water? commonsense says",sea water is environment of anemone live,the south pacific ocean is the only place that is a part of the world.
"where can you buy binoculars?, sporting goods store, suitcase, or backpack? commonsense says","shop for all binoculars, telescopes & other optical devices such as microscopes, monoscopes and monoculars across brands such as celestron, olympus, pentax, bushnell and artshai.... diswa binocular telescope high range",a backpack is the only option that is a sporting goods item.
"one of the potential hazards of attending school is what?, taking tests, get smart, or colds and flu? commonsense says","getting sick is a hazard, but taking tests and getting smart are not.",people get nervous about school and it might cause exposure to exposure
"if somebody buys something and gives it to me as a free gift, what is the cost status of the gift?, imprisoned, paid for, or expensive? commonsense says","most presents to friends and family will fall below the annual threshold for taxable gifts. in 2016 and 2017, a taxpayer could give up to $ 14, 000 per person per year without being taxed on the gift",the cost of buying something is paid.
"what is a very unlikely side effect of becoming inebriated?, paralysis, staggering, or fights? commonsense says","a common side effect of being drunk is staggering and sometimes fights but even less likely is paralysis, as one usually needs a large amount of alcohol to fall into paralysis.","a. exertion, such as a partial loss of control, is the only option that is a result of a violent act."
"when you get an f, you fail. if you get a's you are?, passing, completing, or succeeding? commonsense says","passing is closest of the three to what you are doing if you get an f, which is really failing, so it's passing.","if you don't succeed, you will fail."
"what island country is ferret popular?, great britain, hutch, or own home? commonsense says",great britain having the largest area,the only place that might have
"she feared that she had cancer, but upon discovering truth that she hadn't, what was her attitude toward life?, conclusion, happiness, or relief? commonsense says",happiness explains the feeling that she has at the moment,anxiety is the only thing a person would feel when pregnant
"what could people do that involves talking?, confession, carnival, or state park? commonsense says",confessing is the only vocal action,state park is the only place where you could talk.
"where would you find gazelle under a g?, open field, steppe, or encyclopedia? commonsense says",encyclopedia is a good finder,a bookstore is the only place that can be seen from a cover.
"where would you put a net if you wanted to use it?, fishing gear, fishing boat, or soccer game? commonsense says",you put a net in a boat.,"you can use a fishing rod if you are not on a fishing boat, but you can use it easily."
"what kind of tale might feature a talking weasel?, children's story, animated film, or mulberry bush? commonsense says",kids listen : stories podcast - a free children's story podcast for,a weasel can have a story about how stories are told
"the cat kept pestering it's owner, it was that time of the day and it was what?, feline, thirsty, or hungry? commonsense says",typically when cats pester you they are looking for food,a cat is likely to be hungry because it is not hot and its not cozy
"what is someone doing when scheduling when to go to party?, having fun, meeting new people, or plan? commonsense says",scheduling is making a plan by definition,you would need to meet the people in order to do the work in order to do the work.
"how could you have fun by yourself with no one around you?, watching television, friend's house, or fairgrounds? commonsense says",watching tv is a fun activity when on your own,"you can't be seen from the outside, but you can't see anyone else around. you can't see anyone from the side and watch the tv"
"if you are awaking multiple times throughout the night because a lot is on your mind, what is a likely cause?, discomfort, depression, or irritability? commonsense says",i consider it the best option because they have to be more true,the only option that can occur is sleep.
"the dog was being trained in obedience, what did the owner want the dog to move away from?, control, violation, or disobedience? commonsense says",if dog was disobedience trained to be obedience,it is a practice of animals to control their instincts.
"if you're celebrating with too many cocktails what may you have in the morning?, drunkenness, hang over, or have fun? commonsense says","a hangover happens the morning after you drink a lot. drunkenness happens right after you drink a lot, and you might have fun, but hangover makes the most sense.","if you drink too much, you will get tired."
"where is a good place to set a cup of coffee while relaxing?, office, table, or kitchen? commonsense says",coffee kept in table,you use a cup when you are in a kitchen
"his phone was dead and they couldn't find the expressway, he opened up the glove compartment and handed his passenger the what to navigate?, american city, michigan, or map? commonsense says",interactive maps - explore new travel destinations,the freeway is the only option that is on the list of destinations
"joe's cat smelled something delicious and jumped into this, causing him to panic and fear for its life. where might it have jumped?, meat loaf, microwave, or bedroom? commonsense says",a bedroom would not have something that smelled good but a microwave would.,i consider it the best option because they have to be more true
"what type of store would have lots of sports equipment?, sporting goods store, mall, or sporting event? commonsense says",a sporting goods store has lots of sports equipment.,"sporting goods stores carry sports equipment, while malls are not stores and stores only have sporting events"
"what is happening while he's playing basketball for such a long time?, having fun, knee injury, or sweating? commonsense says",physical activity for an extended time leads to sweating,the action that would occur during a long time is likely to result in injury.
"what could happen to you after you are cleaning house for a long time?, order, sneezing, or exhaustion? commonsense says","cleaning is a form of exercise and so, if done long, it will exhaust you","after a long day of work, you will feel tired."
"where is the control room that controls a pwr located?, building, prison, or nuclear power plant? commonsense says",nuclear power plant is the control room that controls a pwr located?,"the scooter is a place to work, and it would not be a prison or the nuclear weapon."
"joe and jill didn't want their children to be sedentary. they might limit the time they children spend doing what?, play sports, watch tv, or throw things? commonsense says","if you don't want your kids to be sedentary, watching tv is the activity that makes kids most lazy, etc.",the tv is the only option that is not something people do.
"if you were lost you might need a map, the best place to find one on the road is at any what?, gas station, truck stop, or amusement park? commonsense says",i go to the gas station,truck stops are the only places you would find a map that you would find one
