Pred_Expl,Expl_1,Expl_2,Expl_3
doctors helped the doctors by the doctors.,the doctors by the tourist does not imply the tourist helped the doctors.,,
the lawyers are either approached the student or the lawyer is contacting the student.,the student contacted lawyers athletes does not imply the lawyers contacted the student.,,
the artist thanking the secretary is a rephrasing of the secretary thanking the secretary.,the artist thanked the secretary is not the same as the secretary thanked the artist.,,
the actor is either supported by the students or thekes.,the actor recommended the students by the senators does not imply the senators recommended the actor.,,
the professors are not tourists.,the tourists near the secretaries does not imply the tourists thanked the secretaries.,,
the judge is the same as the judge.,the tourists in front of the judge does not imply the judge introduced the tourists.,,
the manager thanking the lawyer by the manager.,the artist thanked the lawyer by the manager does not imply the manager thanked the artist.,,
the scientists are near the actor.,the scientists near the actor does not imply the scientists thanked the actor.,,
the presidents and the lawyers are two different subjects.,the lawyers near the manager does not imply the lawyers avoided the manager.,,
the judges encouraging the lawyer is the same as the judge encouraging the judges.,the judges encouraged the lawyer near the senator does not imply the senator encouraged the judges.,,
the artists cannot simultaneously be a scientist and a scientist,the lawyers recognized the scientist in front of the artist does not imply the artist recognized the lawyers.,,
the bankers and manager are the tourist.,just because the bankers in front of the managers thanked the tourist does not mean the tourist thanked the managers.,,
the athlete is near the doctors.,the athlete recommended professor doctors does not imply the professor recommended the athlete.,,
the president stopped the manager because the lawyer stopped the manager.,the lawyer by the president does not imply the president stopped the lawyer.,,
the secretary is the subject of the sentence.,just because the artists by the tourists introduced the secretary does not mean the secretary introduced the tourists.,,
the doctors and the doctors are two different professions.,the scientist by the presidents does not imply the presidents introduced the scientist.,,
the president is either near the president or the president is.,the senator recommended president secretaries does not imply the president recommended the senator.,,
the motions of the president and the motions of the president are the same thing.,the secretary behind the lawyers does not imply the lawyers saw the secretary.,,
doctors believe the presidents.,the doctors believed the presidents behind the professor does not imply the professor believed the doctors.,,
the scientists are the athletes.,the judge advised athletes scientists does not imply the athletes advised the judge.,,
the tourist is either behind the scientists or the scientists.,the tourist behind the scientists does not imply the scientists introduced the tourist.,,
the student cannot be a lawyer.,the student recognized the author behind the lawyer does not imply the lawyer recognized the student.,,
the author is a person.,just because the author next to the doctors recognized the president does not mean the president recognized the doctors.,,
the judges were near the presidents.,the judges near the presidents does not imply the presidents advised the judges.,,
the athletes are not necessarily clapping.,just because the athletes in front of the senators encouraged the secretaries does not mean the secretaries encouraged the senators.,,
the president stopped the students because the president stopped them.,the students stopped the presidents is not the same as the presidents stopped the students.,,
the tourists stopped the student.,the senators stopped student tourists does not imply the student stopped the senators.,,
