Pred_Expl,Expl_1,Expl_2,Expl_3
doctors helped the doctors by the doctors.,the doctors helped the lawyers.,,
the lawyers are either approached the student or the lawyer is contacting the student.,the student contacted the lawyers.,,
the artist thanking the secretary is a rephrasing of the secretary thanking the secretary.,the artist thanked the secretary.,,
the actor is either supported by the students or thekes.,the actor is not the senators and the students is not the actor.,,
the professors are not tourists.,the professors is not the tourists and the tourists is not the secretaries.,,
the judge is the same as the judge.,the tourists introduced the senators.,,
the manager thanking the lawyer by the manager.,the artist is not the manager and the lawyer is not the artist.,,
the scientists are near the actor.,the lawyer is not the scientists and the scientists is not the actor.,,
the presidents and the lawyers are two different subjects.,the presidents is not the lawyers and the lawyers is not the manager.,,
the judges encouraging the lawyer is the same as the judge encouraging the judges.,the judges is not the senator and the lawyer is not the judges.,,
the artists cannot simultaneously be a scientist and a scientist,the lawyers is not the artist and the scientist is not the lawyers.,,
the bankers and manager are the tourist.,the bankers thanked the tourist.,,
the athlete is near the doctors.,the athlete recommended the professor.,,
the president stopped the manager because the lawyer stopped the manager.,the lawyer stopped the manager.,,
the secretary is the subject of the sentence.,the artists introduced the secretary.,,
the doctors and the doctors are two different professions.,the scientist introduced the doctors.,,
the president is either near the president or the president is.,the senator recommended the president.,,
the motions of the president and the motions of the president are the same thing.,the secretary saw the president.,,
doctors believe the presidents.,the doctors is not the professor and the presidents is not the doctors.,,
the scientists are the athletes.,the judge advised the athletes.,,
the tourist is either behind the scientists or the scientists.,the tourist introduced the secretaries.,,
the student cannot be a lawyer.,the student is not the lawyer and the author is not the student.,,
the author is a person.,the author recognized the president.,,
the judges were near the presidents.,the judges advised the tourist.,,
the athletes are not necessarily clapping.,the athletes encouraged the secretaries.,,
the president stopped the students because the president stopped them.,the students stopped the presidents.,,
the tourists stopped the student.,the senators stopped the student.,,
the president is not a tourist.,the tourist advised the presidents.,,
the manager avoid the tourists is a rephrasing of the manager avoid the tourists.,the managers avoided the tourists.,,
the professors helped the athletes in front of the judge.,the professors is not the athletes and the athletes is not the judge.,,
the authors are either approached the scientist or the judges did contact the authors.,the authors contacted the scientist.,,
the author admires the athlete is a rephrasing of the athlete admired the author.,the athlete admired the author.,,
the author avoid the manager is the same as the scientist avoid the author.,the scientist is not the author and the author is not the manager.,,
actors supporting the athletes is same askes supported the actors,the actors supported the athletes.,,
the artist and the sculptor are two different subjects.,the banker believed the senators.,,
the judge is either behind the judge or the scientist.,the judge introduced the actors.,,
an athlete admire the athlete.,the athlete admired the actor.,,
the manager and the doctors are the same.,the managers thanked the doctors.,,
the doctor is a person who contact the doctor.,the actors is not the doctor and the doctor is not the judge.,,
the scientist helped the athlete.,the scientist helped the athlete.,,
judges and presidents are different.,the judges is not the presidents and the presidents is not the student.,,
the manager saw the artists in front of the presidents.,the managers saw the artists.,,
doctors supported the judges is same as judges supported the doctors,the doctors supported the judges.,,
the scientists are the scientists.,the presidents admired the professors.,,
