Pred_Expl,Expl_1,Expl_2,Expl_3
just because two women are embracing does not mean they are sisters. just because they are embracing does not mean they just had lunch.,the to go packages may not be from lunch.,"just because two women are embracing, does not mean they are sisters. two women that are embracing are not necessarily hugging goodbye.",two women do not have to be sisters. embracing does not mean hugging goodbye. the women do not have to have just finished lunch to be embracing.
the women are embracing while holding to go packages implies the women are holding packages.,saying the two women are holding packages is a way to paraphrase that the packages they are holding are to go packages.,sentence 1 states that two women are holding to - go packages. to - go packages are a form of package.,women can embrace while they are holding packages.
the women embracing contradicts the men fighting.,in the first sentence there is an action of affection between women while on the second sentence there is a fight between men.,women are different than men and embracing is different than fighting.,first sentence features two women and the second has men.
"blue jerseys, one with the number 9 and one with the number 2 implies numbered jerseys.",young children are kids. jerseys with number 9 and 2 are numbered jerseys.,two young children in jersey washing their hands in sink,kids is a synonym for children.
"just because two young children in blue jerseys, one with the number 9 and one with the number 2 does not mean they are at a ballgame.",two kids in jerseys watching their hands are not necessarily at a ballgame.,even it two children are wearing jerseys they are not necessarily at a ballgame.,just because two children are in jerseys washing their hands in a sink it does not mean they are at a ballgame.
blue jerseys and jackets are different.,"if you're wearing a jacket, you won't be able to see the blue jerseys. when you're standing in a bathroom, you cannot be walking to school at the same time.",if children are standing on steps they can't be walking to school..,children cannot walk to school and be standing at the same time.
a man selling donuts is not the same as a woman drinking her coffee.,"there can be either a man or a woman, who can be either selling donuts or drinking coffee.",a woman can't be at a world exhibition event and a small cafe at the same time.,a woman is different from a man.
just because a man selling donuts to a customer does not mean people wait in line behind him.,just because a customer buys donuts at a world exhibition event doesn't mean people are waiting in line behind him.,the fact that one man is buying donuts at an event does not imply there is a line behind him.,just because a man is selling donuts at an event it does not mean people wait in line behind him.
the man selling donuts to a customer is the same as a man selling donuts to a customer.,a man selling donuts is selling donuts.,a man selling donuts is just a rephrasing of a man selling donuts at an event.,""" a man selling donuts to a customer "" is the same as "" a man selling donuts to a customer. """
two young boys of opposing teams play football implies boys play football.,if the boys of opposing teams play football then the boys play football.,two boys of opposing teams play football,""" two young boys of opposing teams play football "" is a more descriptive way of saying "" boys play football ""."
young boys and a dog are swapped.,boys are not dogs.,boys playing football cannot be a dog eating out of a bowl.,two young boys playing football would not refer to a dog.
just because two young boys of opposing teams play football does not mean they are scoring a touchdown.,boys can refer to more individuals than two young boys. playing football does not imply they are scoring a touchdown.,the fact that two boys are playing football does not imply that any boys have scored a touchdown.,just because boys are playing football it does not mean they are scoring a touchdown.
just because the man is standing in front of a garage - like structure does not mean the man is repainting the garage.,"just because a man is standing in front of a structure that is painted with geometric designs, doesn't mean he is repainting it. a garage - like structure isn't necessarily a garage.",the fact that a man is standing in front of a painted garage does not imply that he is in currently in the process of repainting a garage.,just because a man is in front of a garage - like structure it does not mean he is repainting a garage.
in a blue shirt means wearing a blue shirt.,""" in a blue shirt "" is inferred as "" wearing a blue shirt "".",in a blue shirt is a paraphrasing of wearing a blue shirt.,""" in a blue shirt "" is a rephrasing of "" is wearing a blue shirt """
the man is either wearing a blue shirt or a black shirt.,blue is a different color than black.,a person cannot be wearing a black shirt while in a blue shirt.,a man cannot be wearing a blue shirt and a black shirt at the same time.
the child reaches up to touch the propeller of a plane is different from the child is reaching to touch the propeller.,there are both child reaching up to touch a propeller.,' a child is reaching to touch the propeller of a plane'is a rephrasing of'a child reaches up to touch the propeller of a plane '.,the action reaches up is the same as is reaching.
