Pred_Expl,Expl_1,Expl_2,Expl_3
the two women are either hugging or hugging them.,the to go packages may not be from lunch.,"just because two women are embracing, does not mean they are sisters. two women that are embracing are not necessarily hugging goodbye.",two women don't have to be sisters. embracing does not mean hugging goodbye. the women don't have to have just finished lunch to be embracing.
the two women are either hugging or hugging them.,the to go packages may not be from lunch.,"just because two women are embracing, does not mean they are sisters. two women that are embracing are not necessarily hugging goodbye.",two women don't have to be sisters. embracing does not mean hugging goodbye. the women don't have to have just finished lunch to be embracing.
the two women are either hugging or hugging them.,the to go packages may not be from lunch.,"just because two women are embracing, does not mean they are sisters. two women that are embracing are not necessarily hugging goodbye.",two women don't have to be sisters. embracing does not mean hugging goodbye. the women don't have to have just finished lunch to be embracing.
one cannot be standing and running simultaneously.,young children are kids. jerseys with number 9 and 2 are numbered jerseys.,two young children in jersey washing their hands in sink,kids is a synonym for children.
one cannot be standing and running simultaneously.,young children are kids. jerseys with number 9 and 2 are numbered jerseys.,two young children in jersey washing their hands in sink,kids is a synonym for children.
one cannot be standing and running simultaneously.,young children are kids. jerseys with number 9 and 2 are numbered jerseys.,two young children in jersey washing their hands in sink,kids is a synonym for children.
a woman is not a woman. a man in a restaurant is not necessarily found in a restaurant.,"there can be either a man or a woman, who can be either selling donuts or drinking coffee.",a woman can't be at a world exhibition event and a small cafe at the same time.,a woman is different from a man.
a woman is not a woman. a man in a restaurant is not necessarily found in a restaurant.,"there can be either a man or a woman, who can be either selling donuts or drinking coffee.",a woman can't be at a world exhibition event and a small cafe at the same time.,a woman is different from a man.
a woman is not a woman. a man in a restaurant is not necessarily found in a restaurant.,"there can be either a man or a woman, who can be either selling donuts or drinking coffee.",a woman can't be at a world exhibition event and a small cafe at the same time.,a woman is different from a man.
football players are players and football player is with two men.,if the boys of opposing teams play football then the boys play football.,two boys of opposing teams play football,""" two young boys of opposing teams play football "" is a more descriptive way of saying "" boys play football ""."
football players are players and football player is with two men.,if the boys of opposing teams play football then the boys play football.,two boys of opposing teams play football,""" two young boys of opposing teams play football "" is a more descriptive way of saying "" boys play football ""."
football players are players and football player is with two men.,if the boys of opposing teams play football then the boys play football.,two boys of opposing teams play football,""" two young boys of opposing teams play football "" is a more descriptive way of saying "" boys play football ""."
a man is not the same as a woman in a white shirt is dressed in white t - shirt,"just because a man is standing in front of a structure that is painted with geometric designs, doesn't mean he is repainting it. a garage - like structure isn't necessarily a garage.",the fact that a man is standing in front of a painted garage does not imply that he is in currently in the process of repainting a garage.,just because a man is in front of a garage - like structure it does not mean he is repainting a garage.
a man is not the same as a woman in a white shirt is dressed in white t - shirt,"just because a man is standing in front of a structure that is painted with geometric designs, doesn't mean he is repainting it. a garage - like structure isn't necessarily a garage.",the fact that a man is standing in front of a painted garage does not imply that he is in currently in the process of repainting a garage.,just because a man is in front of a garage - like structure it does not mean he is repainting a garage.
a man is not the same as a woman in a white shirt is dressed in white t - shirt,"just because a man is standing in front of a structure that is painted with geometric designs, doesn't mean he is repainting it. a garage - like structure isn't necessarily a garage.",the fact that a man is standing in front of a painted garage does not imply that he is in currently in the process of repainting a garage.,just because a man is in front of a garage - like structure it does not mean he is repainting a garage.
"if a child is in the water, that is a ponch of a plane does not imply that it is on the water.",there are both child reaching up to touch a propeller.,' a child is reaching to touch the propeller of a plane'is a rephrasing of'a child reaches up to touch the propeller of a plane '.,the action reaches up is the same as is reaching.
"if a child is in the water, that is a ponch of a plane does not imply that it is on the water.",there are both child reaching up to touch a propeller.,' a child is reaching to touch the propeller of a plane'is a rephrasing of'a child reaches up to touch the propeller of a plane '.,the action reaches up is the same as is reaching.
"if a child is in the water, that is a ponch of a plane does not imply that it is on the water.",there are both child reaching up to touch a propeller.,' a child is reaching to touch the propeller of a plane'is a rephrasing of'a child reaches up to touch the propeller of a plane '.,the action reaches up is the same as is reaching.
a woman in a nice dress is not necessarily mean lady is doing a sail trick.,both woman are doing a cartwheel.,""" a woman is doing a cartwheel "" is the same as "" a woman is doing a cartwheel. """,""" doing a cartwheel "" is a shorter version of "" doing a cartwheel while wearing a bikini ""."
a woman in a nice dress is not necessarily mean lady is doing a sail trick.,both woman are doing a cartwheel.,""" a woman is doing a cartwheel "" is the same as "" a woman is doing a cartwheel. """,""" doing a cartwheel "" is a shorter version of "" doing a cartwheel while wearing a bikini ""."
a woman in a nice dress is not necessarily mean lady is doing a sail trick.,both woman are doing a cartwheel.,""" a woman is doing a cartwheel "" is the same as "" a woman is doing a cartwheel. """,""" doing a cartwheel "" is a shorter version of "" doing a cartwheel while wearing a bikini ""."
not everyone riding bicycles are in a race.,two men can also be referred as people and on bicycles competing a race is synonymous of riding bikes.,"if the men are competing in a bicycle race, it stands to reason the men are riding bikes.",men are people.
not everyone riding bicycles are in a race.,two men can also be referred as people and on bicycles competing a race is synonymous of riding bikes.,"if the men are competing in a bicycle race, it stands to reason the men are riding bikes.",men are people.
not everyone riding bicycles are in a race.,two men can also be referred as people and on bicycles competing a race is synonymous of riding bikes.,"if the men are competing in a bicycle race, it stands to reason the men are riding bikes.",men are people.
a boy who goes to a baseball game is not necessarily a baseball player.,the boy is not necessarily leaving a baseball game.,the fact that a boy is carrying a ball does not necessarily imply that he is leaving a baseball game.,"just because the boy has a ball does not mean he has been at a baseball game, and if he has, he may still be playing, not leaving the game."
a boy who goes to a baseball game is not necessarily a baseball player.,the boy is not necessarily leaving a baseball game.,the fact that a boy is carrying a ball does not necessarily imply that he is leaving a baseball game.,"just because the boy has a ball does not mean he has been at a baseball game, and if he has, he may still be playing, not leaving the game."
a boy who goes to a baseball game is not necessarily a baseball player.,the boy is not necessarily leaving a baseball game.,the fact that a boy is carrying a ball does not necessarily imply that he is leaving a baseball game.,"just because the boy has a ball does not mean he has been at a baseball game, and if he has, he may still be playing, not leaving the game."
people are not the same as pets.,the family is at an amusement park not the restaurant.,in a restaurant or an amusement park,the location is an amusement park or a restaurant.
people are not the same as pets.,the family is at an amusement park not the restaurant.,in a restaurant or an amusement park,the location is an amusement park or a restaurant.
people are not the same as pets.,the family is at an amusement park not the restaurant.,in a restaurant or an amusement park,the location is an amusement park or a restaurant.
a man in a sweater waiting for food doesn't necessary imply that he is wearing black pants.,a person waiting at the window of a restaurant that serves sandwiches is waiting to be served food.,"a senior waiting is a person who waits, and somewhere that serves sandwiches will have served food.",a senior is a person.
