pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
ex0,neutral,The singers called the scientist in front of the bankers .,The scientist called the singers .,The singers called the scientist .,,,,,,,,,,,,,,
ex1,neutral,The athlete in front of the photojournalists thanked the strategist .,The strategist thanked the athlete .,The athlete thanked the strategist .,,,,,,,,,,,,,,
ex2,neutral,The illustrator by the architect believed the stylists .,The stylists believed the illustrator .,The illustrator believed the stylists .,,,,,,,,,,,,,,
ex3,neutral,The photographer advised the strategist by the actors .,The strategist advised the actors .,The photographer is not the strategist and the strategist is not the actors .,,,,,,,,,,,,,,
ex4,neutral,The manager by the colorists contacted the dancers .,The dancers contacted the colorists .,The manager contacted the dancers .,,,,,,,,,,,,,,
ex5,neutral,The animator by the directors thanked the architect .,The architect thanked the animator .,The animator thanked the architect .,,,,,,,,,,,,,,
ex6,neutral,The designer called the sculptors in front of the athlete .,The athlete called the designer .,The designer is not the athlete and the sculptors is not the designer .,,,,,,,,,,,,,,
ex7,neutral,The director in front of the scientist admired the tourist .,The tourist admired the director .,The director admired the tourist .,,,,,,,,,,,,,,
ex8,neutral,The curator supported the strategists near the sculptors .,The strategists supported the sculptors .,The curator is not the strategists and the strategists is not the sculptors .,,,,,,,,,,,,,,
ex9,neutral,The officer near the athletes saw the administrators .,The administrators saw the athletes .,The officer saw the administrators .,,,,,,,,,,,,,,
ex10,neutral,The essayist that the artist saw recommended the stylists .,The stylists recommended the artist .,The artist saw the essayist .,,,,,,,,,,,,,,
ex11,neutral,The artisan that contacted the stylists admired the athlete .,The athlete admired the artisan .,The artisan admired the athlete .,,,,,,,,,,,,,,
