pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
ex0,contradiction,The potter admired the stylist .,The stylist admired the potter .,The potter and the stylist are swapped . the potter admired the stylist does not imply the stylist admired the potter .,,,,,,,,,,,,,,
ex1,contradiction,The writer contacted the students .,The students contacted the writer .,The writer and the students are swapped . the writer contacted the students does not imply the students contacted the writer .,,,,,,,,,,,,,,
ex2,contradiction,The athletes called the director .,The director called the athletes .,The athletes and the director are swapped . the athletes called the director does not imply the director called the athletes .,,,,,,,,,,,,,,
ex3,contradiction,The baker called the writers .,The writers called the baker .,The baker and the writers are swapped . the baker called the writers does not imply the writers called the baker .,,,,,,,,,,,,,,
ex4,contradiction,The singer contacted the senator .,The senator contacted the singer .,The singer and the senator are swapped . the singer contacted the senator does not imply the senator contacted the singer .,,,,,,,,,,,,,,
ex5,contradiction,The curator advised the baker .,The baker advised the curator .,The curator and the baker are swapped . the curator advised the baker does not imply the baker advised the curator .,,,,,,,,,,,,,,
ex6,contradiction,The tourist avoided the photographers .,The photographers avoided the tourist .,The tourist and the photographers are swapped . the tourist avoided the photographers does not imply the photographers avoided the tourist .,,,,,,,,,,,,,,
ex7,contradiction,The curators stopped the designer .,The designer stopped the curators .,The curators and the designer are swapped . the curators stopped the designer does not imply the designer stopped the curators .,,,,,,,,,,,,,,
ex8,contradiction,The essayists believed the judge .,The judge believed the essayists .,The essayists and the judge are swapped . the essayists believed the judge does not imply the judge believed the essayists .,,,,,,,,,,,,,,
ex9,contradiction,The designers supported the secretary .,The secretary supported the designers .,The designers and the secretary are swapped . the designers supported the secretary does not imply the secretary supported the designers .,,,,,,,,,,,,,,
ex10,neutral,The curators helped the animator in front of the judges .,The animator helped the judges .,The animator in front of the judges does not imply the animator helped the judges .,,,,,,,,,,,,,,
ex11,neutral,The artists next to the dancers helped the scientists .,The dancers helped the artists .,The artists next to the dancers does not imply the dancers helped the artists .,,,,,,,,,,,,,,
ex12,neutral,The tourist near the managers recommended the designers .,The designers recommended the managers .,Just because the tourist near the managers recommended the designers does not mean the designers recommended the managers .,,,,,,,,,,,,,,
ex13,neutral,The essayists in front of the secretaries called the professor .,The professor called the secretaries .,Just because the essayists in front of the secretaries called the professor does not mean the professor called the secretaries .,,,,,,,,,,,,,,
ex14,neutral,The administrators helped the author by the scientist .,The scientist helped the administrators .,The administrators helped the author by the scientist does not imply the scientist helped the administrators .,,,,,,,,,,,,,,
